City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
197,Manta,EC,76.78,broken clouds,-0.95,-80.7333,Balandra Hotel
199,Bandarbeyla,SO,74.66,overcast clouds,9.4942,50.8122,JABIR HOTEL
200,Lorengau,PG,83.32,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
201,Aquiraz,BR,82.18,clear sky,-3.9014,-38.3911,Pousada Rua Camurupim
204,Cockburn Town,TC,75.16,few clouds,21.4612,-71.1419,Osprey Beach Hotel
207,Nargana,PA,78.78,clear sky,9.4428,-78.5906,Dubbir
212,Hithadhoo,MV,82.27,broken clouds,-0.6,73.0833,Scoop Guest House
213,Perth,AU,73.58,scattered clouds,-31.9333,115.8333,Beatty Lodge
216,Karratha,AU,87.82,scattered clouds,-20.7377,116.8463,ibis Styles Karratha
217,Mahebourg,MU,77.29,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
218,Wukari,NG,71.53,clear sky,7.85,9.7833,Elimtop
220,Maua,BR,73.2,overcast clouds,-23.6678,-46.4614,Hotel Capriccio Mauá
224,Kavaratti,IN,77.54,clear sky,10.5669,72.642,Hotels in Lakshadweep Islands
229,Santa Cruz,BO,74.66,scattered clouds,-17.8,-63.1667,Aviador Hotel Boutique
230,Neuquen,AR,76.89,clear sky,-38.9516,-68.0591,Hotel del Comahue
232,Burnie,AU,70.95,clear sky,-41.0667,145.9167,Beachfront Voyager Motor Inn
233,Sawtell,AU,70.18,broken clouds,-30.3833,153.1,The Bungalow Sawtell
237,Coihaique,CL,70.41,overcast clouds,-45.5752,-72.0662,Diego De Almagro Coyhaique
241,Seddon,AU,85.3,clear sky,-37.8068,144.8916,Footscray Motor Inn
243,Bowen,AU,82.62,broken clouds,-20.0167,148.2333,Castle Motor Lodge Motel
245,Broken Hill,AU,80.31,clear sky,-31.95,141.4333,Royal Exchange Hotel
247,Bambanglipuro,ID,79.99,overcast clouds,-7.95,110.2833,Puri Brata
254,Ampanihy,MG,73.2,moderate rain,-24.7,44.75,Angora Hotel
257,New Norfolk,AU,76.66,clear sky,-42.7826,147.0587,The Shingles Riverside Cottages
259,Hervey Bay,AU,80.04,light rain,-25.2986,152.8535,Shelly Bay Resort
262,Port Hedland,AU,78.85,light intensity shower rain,-20.3167,118.5667,"The Esplanade Hotel (Accommodation section closed for refurbishment - Bar, Restaurant & Functions remain open)"
263,Codrington,AU,82.31,clear sky,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
266,Mana,GF,78.06,overcast clouds,5.6592,-53.7767,LE SAMANA
268,Geraldton,AU,74.12,broken clouds,-28.7667,114.6,Broadwater Mariner Resort
271,Porto Belo,BR,78.75,scattered clouds,-27.1578,-48.5531,Costa Verde Beach Hotel
273,Kampot,KH,82.45,overcast clouds,10.6167,104.1833,Two Moons Hotel
275,Saint-Georges,GD,78.48,broken clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
276,Lindi,TZ,74.64,overcast clouds,-10.0,39.7167,Lindi paradise house
277,Honiara,SB,84.92,overcast clouds,-9.4333,159.95,Heritage Park Hotel
282,Iquitos,PE,77.04,scattered clouds,-3.7481,-73.2472,Casa Morey Hotel & Restaurant
283,Santo Domingo,DO,74.03,broken clouds,18.5001,-69.9886,Cabañas City Heart
285,Meulaboh,ID,76.77,overcast clouds,4.1363,96.1285,Kost Pria
288,Itarema,BR,79.57,clear sky,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
297,Fomboni,KM,82.13,light rain,-12.28,43.7425,Auberge les abou
302,Marawi,PH,72.64,scattered clouds,7.9986,124.2928,Derogongan Residence
304,Saint-Pierre,RE,76.68,clear sky,-21.3393,55.4781,Lindsey Hôtel
308,Namibe,AO,73.04,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
311,Touros,BR,81.5,few clouds,-5.1989,-35.4608,INN NEW HORIZON
312,Sorong,ID,83.71,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
315,Nelson Bay,AU,77.29,broken clouds,-32.7167,152.15,Mantra Nelson Bay
317,Ialibu,PG,70.74,overcast clouds,-6.2821,143.9935,Eastwood Guesthouse
319,Galle,LK,78.17,overcast clouds,6.0367,80.217,Amangalla
325,Auki,SB,84.43,overcast clouds,-8.7676,160.7034,Auki Motel
330,Port Macquarie,AU,72.9,light rain,-31.4333,152.9167,Rydges Port Macquarie
331,Gorontalo,ID,84.02,light rain,0.5412,123.0595,Maqna Hotel by Prasanthi
332,Jacareacanga,BR,74.64,heavy intensity rain,-6.2222,-57.7528,Casa do Ian😎
335,Biak,ID,81.1,overcast clouds,-0.9131,122.8766,Penginapan Kim
336,Kattivakkam,IN,79.07,overcast clouds,13.2167,80.3167,Euronova Freezer
337,Harper,LR,79.09,overcast clouds,4.375,-7.7169,Screensaver
338,Kiunga,PG,89.31,overcast clouds,-6.1219,141.2906,Airport Lodge Kiunga
341,Ubala,CO,84.74,broken clouds,4.7478,-72.5369,HATO SANTA LETICIA
342,Tucupita,VE,72.68,scattered clouds,9.0622,-62.051,Hotel Tucupita Su​ite C.A.
348,Tabou,CI,79.18,overcast clouds,4.423,-7.3528,hotêl doufoulougou
349,Eyl,SO,73.44,overcast clouds,7.9803,49.8164,Amiin Hotel
350,Grand Gaube,MU,77.4,overcast clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
352,Kuching,MY,79.02,few clouds,1.55,110.3333,The Ranee Boutique Suites
355,Waingapu,ID,84.65,few clouds,-9.6567,120.2641,Pondok Wisata Elim
356,Lubao,PH,81.14,overcast clouds,14.9167,120.55,Hacienda Gracia
360,Mahajanga,MG,78.82,few clouds,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
371,Vila Velha,BR,80.55,broken clouds,-20.3297,-40.2925,Quality Suites Vila Velha
374,Nhamunda,BR,73.54,light rain,-2.1861,-56.7131,Pousada Da Praia
375,Tautira,PF,86.02,light rain,-17.7333,-149.15,Pension Oaoa
377,Yulara,AU,87.64,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
379,Sao Joao Da Barra,BR,77.0,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
380,Wang Saphung,TH,73.74,few clouds,17.301,101.7685,โรงแรมวังรีสอร์ท
385,Bluefields,NI,74.44,clear sky,12.0137,-83.7635,Nicaraguan Typical House Downtown
391,Trenggalek,ID,80.89,overcast clouds,-8.05,111.7167,OYO 2966 Hotel Atriaz
392,Miracema Do Tocantins,BR,74.5,light rain,-9.5618,-48.3967,Miami Apart Hotel
395,Lingao,CN,70.16,scattered clouds,19.9103,109.6859,Lingao Ditai Inn
399,Alta Floresta,BR,72.39,moderate rain,-9.8756,-56.0861,Floresta Amazonica Hotel
400,Quilmana,PE,70.38,overcast clouds,-12.95,-76.3833,Hospedaje SAN ANTONIO
401,Lazaro Cardenas,MX,76.23,few clouds,17.9583,-102.2,quinta antigua
403,Vao,NC,80.67,broken clouds,-22.6667,167.4833,Hotel Kou-Bugny
404,Saint-Paul,RE,77.11,broken clouds,-21.0096,55.2707,Boucan Canot
411,Namatanai,PG,85.93,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
418,Nabire,ID,83.64,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
421,Manzanillo,CU,74.19,scattered clouds,20.3433,-77.1167,"HOSTAL ""THE YELLOW HOUSE"""
422,Turiacu,BR,74.73,overcast clouds,-1.6633,-45.3717,Pousada Maranata
426,Saint-Joseph,RE,75.58,broken clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
430,Kapit,MY,76.71,moderate rain,2.0167,112.9333,Hotel Meligai Kapit
434,Ponnani,IN,74.52,broken clouds,10.767,75.9252,Rouba Residency
435,Manati,PR,73.87,broken clouds,18.4275,-66.4921,Manati World Point Inn
436,Morant Bay,JM,76.62,clear sky,17.8815,-76.4093,Whispering Bamboo Cove Resort
437,Tadepallegudem,IN,70.14,overcast clouds,16.8333,81.5,Hotel Selection Grand
440,Souillac,MU,77.38,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
447,Dhidhdhoo,MV,80.76,clear sky,6.8833,73.1,Dhidhoo beach
452,Aquidaba,BR,73.44,clear sky,-10.2814,-37.0186,POUSADA 2000
453,Urucui,BR,75.18,overcast clouds,-7.2294,-44.5561,Hotel Premium Piauí
454,Kilindoni,TZ,80.58,overcast clouds,-7.9139,39.6668,Bustani B&B
456,Salinopolis,BR,77.54,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
465,Mount Isa,AU,87.57,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
466,Poso,ID,84.9,overcast clouds,-1.3959,120.7524,Hotel 77 Poso
467,Ixtapa,MX,73.22,broken clouds,20.7,-105.2,Hotel Plaza Providencia
471,Pitimbu,BR,79.39,clear sky,-7.4706,-34.8086,Reserva do Abiaí
473,Tarakan,ID,80.1,scattered clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
476,Bontang,ID,82.15,overcast clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
478,Sungaipenuh,ID,70.83,overcast clouds,-2.0833,101.3833,penginapan citra alam
481,Pallavaram,IN,78.91,mist,12.9761,80.1836,NGH Transit Hotel
483,Samarai,PG,85.44,overcast clouds,-10.6167,150.6667,Nuli Sapi
490,Cravo Norte,CO,86.97,overcast clouds,6.3017,-70.2041,Hotel Potosí Los Mirtos
491,Santo Antonio Do Ica,BR,73.78,overcast clouds,-3.1022,-67.9397,HOTEL AMAZON WAY
493,Santiago Del Estero,AR,71.78,clear sky,-27.7951,-64.2615,Apartamentos Castelli 90
494,Sao Carlos,BR,70.63,overcast clouds,-22.0175,-47.8908,The Hill Hoteis Apart Suites
511,Sao Jose Da Coroa Grande,BR,78.73,scattered clouds,-8.8978,-35.1478,Crôa Mares Hotel
515,Alice Springs,AU,83.75,clear sky,-23.7,133.8833,Desert Palms Alice Springs
516,Alappuzha,IN,74.12,few clouds,9.49,76.3264,Panoramic Sea Resort
517,Muli,MV,81.45,few clouds,2.9167,73.5667,Medhufushi Island Resort
519,Bagotville,AU,76.89,overcast clouds,-28.9833,153.4167,Broadwater Sunrise Caravan Park
523,Canavieiras,BR,76.15,broken clouds,-15.675,-38.9472,Bahiadomizil
526,Padang,ID,75.25,overcast clouds,-0.9492,100.3543,Mercure Padang
528,Santa Ines,BR,73.42,overcast clouds,-3.6667,-45.38,Palace hotel
529,Parintins,BR,73.44,light rain,-2.6283,-56.7358,Cama e Cafe
530,Marsh Harbour,BS,73.87,scattered clouds,26.5412,-77.0636,Abaco Beach Resort
536,Hobyo,SO,75.7,overcast clouds,5.3505,48.5268,Halane Hotel and Restaurent
538,Newcastle,AU,76.98,scattered clouds,-32.9272,151.7765,NOAH'S on the beach
543,Huarmey,PE,71.44,overcast clouds,-10.0681,-78.1522,Hotel Miramar
544,San Policarpo,PH,82.13,scattered clouds,12.1791,125.5072,Agapita M. Nicart
545,Sao Gabriel Da Cachoeira,BR,72.82,overcast clouds,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
546,Labuan,MY,82.76,scattered clouds,5.2767,115.2417,Tiara Labuan Hotel
549,Acapulco,MX,82.22,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
552,Banda Aceh,ID,77.16,overcast clouds,5.5577,95.3222,Sulthan Hotel International
561,Ulverstone,AU,71.29,clear sky,-41.15,146.1667,Westella Colonial Bed & Breakfast
563,Trat,TH,83.25,overcast clouds,12.5,102.5,สวนหนิง-อัศ
567,Kununurra,AU,80.58,overcast clouds,-15.7667,128.7333,Hotel Kununurra
570,Villa Del Rosario,CO,75.58,broken clouds,7.8339,-72.4742,Hotel Villas de San Diego
572,Baragua,CU,70.65,clear sky,21.6967,-78.6328,Hotel Itabo
574,Ambilobe,MG,72.23,scattered clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
577,The Valley,AI,77.09,broken clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
581,Talara,PE,71.44,scattered clouds,-4.5772,-81.2719,Hostal Oro Negro
582,Tiarei,PF,86.02,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
583,Mina,MX,70.5,overcast clouds,26.0011,-100.5299,Mina ctl
584,Prieska,ZA,73.85,overcast clouds,-29.6641,22.7474,Avenue GuestHouse
588,Cayenne,GF,80.1,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
590,Clarence Town,AU,76.95,overcast clouds,-32.5833,151.7833,River Downs Cottage
595,Salalah,OM,75.29,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
602,Pontes E Lacerda,BR,70.27,overcast clouds,-15.2261,-59.3353,Hotel Bressan
604,Sechura,PE,72.54,broken clouds,-5.5569,-80.8222,Hospedaje Costa Bella
605,Pundaguitan,PH,80.42,broken clouds,6.3711,126.1689,Leonardo Family Beach House 1
611,Wesley,DM,76.86,broken clouds,15.5667,-61.3167,Escape Dominica
613,Manokwari,ID,82.47,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
614,Riohacha,CO,75.79,clear sky,11.5444,-72.9072,Hotel Taroa
618,Sinnamary,GF,77.11,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
626,Camopi,GF,71.85,overcast clouds,3.1655,-52.3158,La pousada
632,Pilar,BR,75.13,clear sky,-9.5972,-35.9567,Pousada e churrascaria Manguaba
635,Samana,DO,71.58,scattered clouds,19.2056,-69.3369,The Bannister - Hotel & Yacht Club
639,Sokoni,TZ,76.86,moderate rain,-6.4333,39.55,Ujamaa Beach Resort
640,Biritiba-Mirim,BR,73.18,heavy intensity rain,-23.5698,-46.0407,RECANTO SPLENDORE
644,Makakilo City,US,80.92,few clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
646,Alyangula,AU,85.87,broken clouds,-13.8483,136.4192,Groote Eylandt Lodge
650,Buchanan,LR,78.76,light rain,5.8808,-10.0467,Kamaneahn Hotel Inc
656,San Rafael Del Sur,NI,83.37,clear sky,11.8485,-86.4384,Hospedaje El Chino
657,Sampit,ID,74.64,overcast clouds,-2.5333,112.95,Aquarius Boutique Hotel Sampit
664,Port Blair,IN,77.04,scattered clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
668,Montes Altos,BR,72.1,overcast clouds,-5.8333,-47.0667,Hotel e Restaurante Manaaim
670,Itubera,BR,73.08,broken clouds,-13.7322,-39.1492,Pousada Baixo Sul.
671,Ugoofaaru,MV,80.44,broken clouds,5.6667,73.0,Ungoofaaru Inn
677,Bouafle,CI,78.82,overcast clouds,6.9904,-5.7442,Hotel Zaouli
